Station,closure_date,start_time,end_time,duration_minutes,n_intervals,mean_flow,mean_speed,max_occupancy,multi_station_event
317791,2013-02-18,2013-02-18 00:25:00,2013-02-18 04:10:00,230.0,46,3.3260869565217392,65.42608695652174,0.0032,True
316249,2013-02-19,2013-02-19 01:20:00,2013-02-19 04:05:00,170.0,33,2.303030303030303,69.5878787878788,0.0018,True
316261,2013-02-19,2013-02-19 01:25:00,2013-02-19 15:05:00,825.0,33,1.696969696969697,64.53030303030303,0.0209,True
317791,2013-02-19,2013-02-19 01:25:00,2013-02-19 04:15:00,175.0,35,3.8857142857142857,64.55142857142857,0.003,True
317791,2013-02-20,2013-02-20 00:35:00,2013-02-20 04:15:00,225.0,45,3.4,64.93777777777777,0.0034,False
316249,2013-02-21,2013-02-21 01:20:00,2013-02-21 01:35:00,20.0,3,4.666666666666667,65.73333333333333,0.0032,True
316261,2013-02-21,2013-02-21 00:35:00,2013-02-21 03:10:00,160.0,7,3.2857142857142856,67.1,0.0064,True
317791,2013-02-21,2013-02-21 00:35:00,2013-02-21 04:10:00,220.0,43,3.558139534883721,63.93023255813954,0.0031,True
316249,2013-02-22,2013-02-22 01:20:00,2013-02-22 01:20:00,5.0,1,4.0,62.4,0.003,True
316261,2013-02-22,2013-02-22 01:20:00,2013-02-22 03:10:00,115.0,5,2.8,66.66,0.0086,True
317791,2013-02-22,2013-02-22 01:05:00,2013-02-22 04:05:00,185.0,37,3.5945945945945947,64.22972972972973,0.0027,True
316261,2013-02-23,2013-02-23 02:45:00,2013-02-23 04:15:00,95.0,3,3.3333333333333335,63.666666666666664,0.0048,True
317791,2013-02-23,2013-02-23 02:20:00,2013-02-23 05:00:00,165.0,33,3.909090909090909,64.71515151515152,0.0029,True
316249,2013-02-24,2013-02-24 01:45:00,2013-02-24 05:50:00,250.0,37,3.5675675675675675,67.69189189189188,0.0029,True
316261,2013-02-24,2013-02-24 01:10:00,2013-02-24 06:05:00,300.0,57,3.3333333333333335,66.51578947368421,0.0081,True
317791,2013-02-24,2013-02-24 01:40:00,2013-02-24 05:40:00,245.0,49,3.4693877551020407,65.34897959183674,0.0029,True
316249,2013-02-25,2013-02-25 01:55:00,2013-02-25 03:45:00,115.0,5,3.8,65.42,0.0032,True
316261,2013-02-25,2013-02-25 00:30:00,2013-02-25 03:45:00,200.0,16,3.4375,65.36875,0.008,True
317791,2013-02-25,2013-02-25 00:25:00,2013-02-25 04:10:00,230.0,46,3.3260869565217392,65.42608695652174,0.0032,True
316249,2013-02-26,2013-02-26 01:35:00,2013-02-26 02:00:00,30.0,4,3.75,65.95,0.0034,True
316261,2013-02-26,2013-02-26 00:25:00,2013-02-26 02:20:00,120.0,13,4.461538461538462,64.1076923076923,0.0202,True
317791,2013-02-26,2013-02-26 01:30:00,2013-02-26 04:15:00,170.0,34,3.8529411764705883,64.56470588235294,0.003,True
316249,2013-02-27,2013-02-27 01:15:00,2013-02-27 02:05:00,55.0,2,4.5,66.19999999999999,0.0017,True
316261,2013-02-27,2013-02-27 00:40:00,2013-02-27 02:05:00,90.0,6,3.6666666666666665,64.53333333333333,0.0091,True
317791,2013-02-27,2013-02-27 00:35:00,2013-02-27 04:15:00,225.0,45,3.4,64.93777777777777,0.0034,True
316249,2013-02-28,2013-02-28 01:45:00,2013-02-28 02:10:00,30.0,3,3.6666666666666665,64.26666666666667,0.0035,True
316261,2013-02-28,2013-02-28 01:45:00,2013-02-28 02:15:00,35.0,6,4.166666666666667,63.98333333333333,0.0091,True
317791,2013-02-28,2013-02-28 00:50:00,2013-02-28 04:10:00,205.0,41,3.4878048780487805,63.9219512195122,0.0031,True
317791,2013-03-01,2013-03-01 01:05:00,2013-03-01 04:05:00,185.0,37,3.5945945945945947,64.22972972972973,0.0027,False
316249,2013-03-02,2013-03-02 03:30:00,2013-03-02 04:30:00,65.0,4,3.75,66.6,0.0025,True
316261,2013-03-02,2013-03-02 03:30:00,2013-03-02 04:45:00,80.0,7,5.142857142857143,66.32857142857144,0.0089,True
317791,2013-03-02,2013-03-02 02:20:00,2013-03-02 05:00:00,165.0,33,3.909090909090909,64.71515151515152,0.0029,True
316249,2013-03-03,2013-03-03 02:00:00,2013-03-03 05:30:00,215.0,35,2.8857142857142857,67.90571428571428,0.0024,True
316261,2013-03-03,2013-03-03 01:25:00,2013-03-03 05:35:00,255.0,45,2.5555555555555554,67.07777777777778,0.008,True
317791,2013-03-03,2013-03-03 01:35:00,2013-03-03 05:40:00,250.0,50,3.5,65.33800000000001,0.0029,True
316249,2013-03-04,2013-03-04 00:45:00,2013-03-04 03:45:00,185.0,9,4.111111111111111,65.22222222222223,0.0033,True
