event_id,closure_end,closure_start,source_record_count,has_reopening_time,last_closure_report,duration_status,duration_hours
I80-0122,,2021-01-26 16:22:07+00:00,1,False,2021-01-26 16:22:07+00:00,right_censored,
I80-0123,,2021-01-28 16:30:01+00:00,2,False,2021-01-28 18:44:29+00:00,right_censored,
I80-0124,2021-01-29 14:51:00+00:00,2021-01-28 20:52:09+00:00,2,True,,observed,17.980833333333333
I80-0125,,2021-01-29 14:51:55+00:00,1,False,2021-01-29 14:51:55+00:00,right_censored,
I80-0126,,2021-03-20 21:54:08+00:00,1,False,2021-03-20 21:54:08+00:00,right_censored,
I80-0127,,2021-04-14 01:43:00+00:00,1,False,2021-04-14 01:43:00+00:00,right_censored,
I80-0128,,2021-10-03 00:08:25+00:00,1,False,2021-10-03 00:08:25+00:00,right_censored,
I80-0129,,2021-10-08 03:25:49+00:00,1,False,2021-10-08 03:25:49+00:00,right_censored,
I80-0130,2021-10-18 09:44:00+00:00,2021-10-18 06:40:56+00:00,1,True,,observed,3.051111111111111
I80-0131,,2021-10-22 03:46:17+00:00,1,False,2021-10-22 03:46:17+00:00,right_censored,
I80-0132,2021-10-25 15:39:00+00:00,2021-10-24 19:17:02+00:00,2,True,,observed,20.36611111111111
I80-0133,,2021-10-25 15:39:44+00:00,2,False,2021-10-25 20:49:50+00:00,right_censored,
I80-0134,,2021-11-17 22:17:37+00:00,1,False,2021-11-17 22:17:37+00:00,right_censored,
I80-0135,,2021-12-13 23:58:24+00:00,3,False,2021-12-14 04:32:24+00:00,right_censored,
I80-0136,2021-12-14 22:00:00+00:00,2021-12-14 13:20:15+00:00,2,True,,observed,8.6625
I80-0137,,2021-12-15 21:48:13+00:00,1,False,2021-12-15 21:48:13+00:00,right_censored,
I80-0138,,2021-12-18 01:43:00+00:00,1,False,2021-12-18 01:43:00+00:00,right_censored,
I80-0139,,2021-12-20 17:36:54+00:00,1,False,2021-12-20 17:36:54+00:00,right_censored,
I80-0140,,2021-12-22 16:42:02+00:00,1,False,2021-12-22 16:42:02+00:00,right_censored,
I80-0141,,2021-12-25 18:48:10+00:00,4,False,2021-12-26 02:04:52+00:00,right_censored,
I80-0142,2021-12-29 06:17:00+00:00,2021-12-26 03:06:52+00:00,12,True,,observed,75.16888888888889
I80-0143,,2021-12-29 19:47:05+00:00,1,False,2021-12-29 19:47:05+00:00,right_censored,
I80-0144,,2021-12-31 06:43:28+00:00,1,False,2021-12-31 06:43:28+00:00,right_censored,
I80-0145,,2022-01-01 21:27:49+00:00,1,False,2022-01-01 21:27:49+00:00,right_censored,
I80-0146,,2022-01-03 19:59:32+00:00,1,False,2022-01-03 19:59:32+00:00,right_censored,
I80-0147,,2022-01-26 19:10:46+00:00,1,False,2022-01-26 19:10:46+00:00,right_censored,
I80-0148,,2022-02-08 23:14:40+00:00,1,False,2022-02-08 23:14:40+00:00,right_censored,
I80-0149,,2022-02-23 14:49:57+00:00,1,False,2022-02-23 14:49:57+00:00,right_censored,
I80-0150,,2022-04-15 02:35:49+00:00,1,False,2022-04-15 02:35:49+00:00,right_censored,
I80-0151,,2022-04-21 16:11:06+00:00,1,False,2022-04-21 16:11:06+00:00,right_censored,
I80-0152,,2022-04-25 23:29:09+00:00,1,False,2022-04-25 23:29:09+00:00,right_censored,
I80-0153,2022-05-10 07:15:00+00:00,2022-05-10 06:23:13+00:00,1,True,,observed,0.8630555555555556
I80-0154,,2022-10-25 16:42:58+00:00,1,False,2022-10-25 16:42:58+00:00,right_censored,
I80-0155,,2022-11-02 15:53:44+00:00,1,False,2022-11-02 15:53:44+00:00,right_censored,
I80-0156,,2022-11-04 17:38:26+00:00,1,False,2022-11-04 17:38:26+00:00,right_censored,
I80-0157,,2022-11-06 01:14:30+00:00,1,False,2022-11-06 01:14:30+00:00,right_censored,
I80-0158,2022-11-09 03:14:00+00:00,2022-11-08 05:35:51+00:00,1,True,,observed,21.635833333333334
I80-0159,2022-11-09 05:58:00+00:00,2022-11-09 03:14:14+00:00,1,True,,observed,2.7294444444444443
I80-0160,2022-11-26 17:54:00+00:00,2022-11-26 13:18:46+00:00,1,True,,observed,4.5872222222222225
I80-0161,,2022-12-01 15:03:32+00:00,3,False,2022-12-01 21:39:26+00:00,right_censored,
